date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	1	mhs	metop-a	1	2	90	-2.5	1.5528381	1.5528381	0.7346199	3.0155449	2.5849961
2021-05-11 03:00:00	1	mhs	metop-a	2	3	938	-2.5	1.6009302	1.6009302	0.6602572	2.2497486	1.5806301
2021-05-11 03:00:00	1	mhs	metop-a	3	3	2	-2.5	0.0337971	0.0337971	0.1455503	0.9689672	0.9683776
2021-05-11 03:00:00	1	mhs	metop-a	4	3	2	-2.0	-0.0396467	-0.0396467	0.0354488	0.4033273	0.401374
2021-05-11 03:00:00	1	mhs	metop-a	5	3	2	-2.0	-0.2904033	-0.2904033	0.243545	1.0370647	0.9955748
2021-05-11 03:00:00	1	mhs	n19	1	206	320	2.5	2.0595636	1.8811682	0.4173322	3.0658904	2.4209276
2021-05-11 03:00:00	1	mhs	n19	2	232	246	2.5	1.9470928	1.7917068	0.4218113	2.7944738	2.1444977
2021-05-11 03:00:00	1	mhs	n19	3	232	10	-2.5	0.0040722	0.0155973	0.1946162	1.1294758	1.1293681
2021-05-11 03:00:00	1	mhs	n19	4	232	21	2.0	-0.1895987	-0.0447176	0.2444218	1.0084526	1.0074607
2021-05-11 03:00:00	1	mhs	n19	5	232	14	2.0	-0.3109747	0.1148573	0.1460021	0.9263678	0.9192198
2021-05-11 03:00:00	1	mhs	metop-b	1	424	151	-2.5	1.6286683	1.6286683	0.4172173	2.9829737	2.4991141
2021-05-11 03:00:00	1	mhs	metop-b	2	473	55	-2.5	1.5505452	1.5505452	0.2367629	2.2983817	1.6965755
2021-05-11 03:00:00	1	mhs	metop-b	3	473	6	-2.5	0.1821348	0.1821348	0.1514529	0.9994411	0.9827052
2021-05-11 03:00:00	1	mhs	metop-b	4	473	5	-2.0	-0.0441099	-0.0441099	0.2002228	0.9156806	0.9146175
2021-05-11 03:00:00	1	mhs	metop-b	5	473	7	-2.0	-0.0886215	-0.0886215	0.1479382	0.8448053	0.8401442
2021-05-11 03:00:00	2	mhs	metop-a	1	4	87	-2.5	0.1446457	0.1446457	0.298352	2.2280894	2.2233893
2021-05-11 03:00:00	2	mhs	metop-a	2	5	936	-2.5	1.9724803	1.9724803	0.4210588	2.4855266	1.5123371
2021-05-11 03:00:00	2	mhs	metop-a	3	5	1	-2.5	0.2822317	0.2822317	0.1968107	1.1130882	1.0767129
2021-05-11 03:00:00	2	mhs	metop-a	4	5	2	-2.0	0.0494701	0.0494701	0.1016509	0.6414699	0.6395595
2021-05-11 03:00:00	2	mhs	metop-a	5	5	0	-2.0	-0.046205	-0.046205	0.1316785	0.7417118	0.7402712
2021-05-11 03:00:00	2	mhs	n19	1	215	137	2.5	2.2986433	0.40301	0.2115963	2.1846277	2.1471332
2021-05-11 03:00:00	2	mhs	n19	2	229	98	2.5	2.0183915	0.5240841	0.2967756	1.9855343	1.9151194
2021-05-11 03:00:00	2	mhs	n19	3	229	3	-2.5	-0.0695938	-0.0584335	0.1989864	1.1366287	1.1351257
2021-05-11 03:00:00	2	mhs	n19	4	229	11	2.0	-0.1639132	0.0272896	0.1586523	0.812669	0.8122107
2021-05-11 03:00:00	2	mhs	n19	5	229	8	2.0	-0.3986333	-0.0143205	0.1102275	0.7801578	0.7800263
2021-05-11 03:00:00	2	mhs	metop-b	1	464	147	-2.5	1.6938281	1.6938281	0.444207	3.0258985	2.5073908
2021-05-11 03:00:00	2	mhs	metop-b	2	514	49	-2.5	1.4953328	1.4953328	0.2402003	2.2636746	1.6994712
2021-05-11 03:00:00	2	mhs	metop-b	3	514	7	-2.5	0.1373138	0.1373138	0.1405141	0.9625581	0.9527135
2021-05-11 03:00:00	2	mhs	metop-b	4	514	7	-2.0	-0.0641641	-0.0641641	0.1828004	0.875749	0.8733953
2021-05-11 03:00:00	2	mhs	metop-b	5	514	6	-2.0	-0.1390217	-0.1390217	0.1320345	0.7980364	0.785834
2021-05-11 03:00:00	3	mhs	metop-a	1	5	91	-2.5	0.448833	0.448833	0.2858759	2.155855	2.1086156
2021-05-11 03:00:00	3	mhs	metop-a	2	6	937	-2.5	1.3175718	1.3175718	0.3884205	2.30052	1.8858411
2021-05-11 03:00:00	3	mhs	metop-a	3	6	2	-2.5	0.5987889	0.5987889	0.1522797	1.0964602	0.9185188
2021-05-11 03:00:00	3	mhs	metop-a	4	6	3	-2.0	0.2697942	0.2697942	0.1589368	0.9507876	0.9117062
2021-05-11 03:00:00	3	mhs	metop-a	5	6	2	-2.0	-0.1533829	-0.1533829	0.0902134	0.6285408	0.6095385
2021-05-11 03:00:00	3	mhs	n19	1	217	114	2.5	2.3327529	-0.2153863	0.1901803	2.0879293	2.0767901
2021-05-11 03:00:00	3	mhs	n19	2	232	71	2.5	2.1457696	0.0674121	0.2443643	1.8643268	1.8631076
2021-05-11 03:00:00	3	mhs	n19	3	232	5	-2.5	0.0276962	0.0299277	0.2005378	1.1409668	1.1405743
2021-05-11 03:00:00	3	mhs	n19	4	232	5	2.0	-0.1258228	-0.0268476	0.1570095	0.8129884	0.812545
2021-05-11 03:00:00	3	mhs	n19	5	232	5	2.0	-0.3881692	0.0527589	0.1040988	0.7709371	0.7691298
2021-05-11 03:00:00	3	mhs	metop-b	1	486	147	-2.5	1.7939537	1.7939537	0.4872165	3.074405	2.4967371
