date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	1	amsua	n15	7	734	0	0.25	-0.1322131	0.1302453	0.6007176	0.194125	0.1439468
2021-05-11 03:00:00	1	amsua	n15	8	734	0	0.275	-0.0890601	0.1511308	0.6136988	0.215547	0.1536879
2021-05-11 03:00:00	1	amsua	n15	9	734	0	0.34	-0.1169965	-0.1235006	0.6594756	0.2764688	0.2473512
2021-05-11 03:00:00	1	amsua	n15	10	734	0	0.4	0.1177089	-0.0697244	0.3459126	0.2363412	0.2258222
2021-05-11 03:00:00	1	amsua	n15	12	734	0	-1.0	0.4932399	0.4131592	0.2344788	0.5303295	0.3324889
2021-05-11 03:00:00	1	amsua	n15	13	171	563	-1.5	1.7300127	1.8670978	0.8344288	1.902541	0.3655243
2021-05-11 03:00:00	1	amsua	n18	1	166	3	2.5	-3.7747786	-0.3532933	0.1217097	2.2359498	2.2078622
2021-05-11 03:00:00	1	amsua	n18	2	169	0	2.2	-3.0424151	-0.1456717	0.0665641	1.8409132	1.8351406
2021-05-11 03:00:00	1	amsua	n18	3	169	0	2.0	-0.7380366	-0.6551021	0.1285284	1.4542721	1.2983638
2021-05-11 03:00:00	1	amsua	n18	4	169	0	0.55	-0.2696536	0.0258882	0.1425321	0.3692582	0.3683496
2021-05-11 03:00:00	1	amsua	n18	5	169	0	-0.3	-0.5289899	0.0467709	0.4153697	0.2591973	0.2549426
2021-05-11 03:00:00	1	amsua	n18	6	672	0	0.23	-1.2389156	0.0135628	0.4629233	0.1591165	0.1585374
2021-05-11 03:00:00	1	amsua	n18	7	705	2	0.23	-1.5654161	0.0876531	0.8710953	0.2147886	0.1960894
2021-05-11 03:00:00	1	amsua	n18	8	701	6	-0.25	-1.056076	0.040969	1.4898982	0.3053144	0.3025532
2021-05-11 03:00:00	1	amsua	n18	9	701	6	-0.25	-1.2219407	-0.0625711	0.8461582	0.2302618	0.2215973
2021-05-11 03:00:00	1	amsua	n18	10	707	0	0.35	-1.0354432	-0.1634878	0.6075232	0.2740467	0.2199394
2021-05-11 03:00:00	1	amsua	n18	11	707	0	-0.4	-1.0525616	-0.0294175	0.377078	0.2506021	0.2488695
2021-05-11 03:00:00	1	amsua	n18	12	707	0	-0.55	-0.6071588	0.1687658	0.4581839	0.4078762	0.3713235
