date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	1	amsua	n15	7	734	0	0.25	-0.1379224	0.1246478	0.5585301	0.1871602	0.1396133
2021-05-11 03:00:00	1	amsua	n15	8	734	0	0.275	-0.0908346	0.1497601	0.615206	0.2158114	0.1553914
2021-05-11 03:00:00	1	amsua	n15	9	734	0	0.34	-0.1129981	-0.1194333	0.6153551	0.2670612	0.2388669
2021-05-11 03:00:00	1	amsua	n15	10	734	0	0.4	0.1219649	-0.0654736	0.3297108	0.2307424	0.2212583
2021-05-11 03:00:00	1	amsua	n15	12	734	0	-1.0	0.4948248	0.4147436	0.2352872	0.5312371	0.3319647
2021-05-11 03:00:00	1	amsua	n15	13	171	563	-1.5	1.7306898	1.8677189	0.8349849	1.903172	0.3656361
2021-05-11 03:00:00	1	amsua	n18	1	168	3	2.5	-3.7862587	-0.3609094	0.1199566	2.2237583	2.1942756
2021-05-11 03:00:00	1	amsua	n18	2	171	0	2.2	-3.0533792	-0.1497197	0.0660522	1.8339485	1.8278269
2021-05-11 03:00:00	1	amsua	n18	3	171	0	2.0	-0.7499734	-0.6592613	0.1281963	1.4537311	1.2956498
2021-05-11 03:00:00	1	amsua	n18	4	171	0	0.55	-0.2855648	0.0105266	0.1412571	0.370196	0.3700463
2021-05-11 03:00:00	1	amsua	n18	5	171	0	-0.3	-0.5475629	0.0288875	0.4169483	0.2587987	0.2571814
2021-05-11 03:00:00	1	amsua	n18	6	671	0	0.23	-1.2628615	-0.0102036	0.4617326	0.1588267	0.1584986
2021-05-11 03:00:00	1	amsua	n18	7	705	2	0.23	-1.5852557	0.0681376	0.8140024	0.2076294	0.1961306
2021-05-11 03:00:00	1	amsua	n18	8	701	6	-0.25	-1.0693334	0.0285684	1.4767233	0.3039616	0.3026161
2021-05-11 03:00:00	1	amsua	n18	9	705	2	-0.25	-1.2233929	-0.0622393	0.8775389	0.234496	0.2260855
2021-05-11 03:00:00	1	amsua	n18	10	707	0	0.35	-1.0265263	-0.154495	0.5801598	0.2678037	0.2187467
